,keys,values
10,Terminator 2: Judgment Day,"['Blast from the Past', 'Jack Frost', 'Dumbo', 'Enemy Mine', 'White Noise', 'Junebug', 'The Forgotten', 'I, Robot', 'Meet the Robinsons', 'Monster', ""L'enfant"", 'Timecop', 'Austin Powers in Goldmember', 'The Lost Boys', 'Westworld', 'Terminator 2: Judgment Day', 'Catch Me If You Can', 'One Fine Day', 'Beautiful Thing', 'Star Trek IV: The Voyage Home', 'Blow Dry', 'Terminator 3: Rise of the Machines', 'Back to the Future Part III', 'Gattaca', 'Peggy Sue Got Married', 'The Grifters', 'Role Models', 'Les quatre cents coups', 'The Butterfly Effect', 'City by the Sea', 'Mis', 'The Fifth Element', 'Mission: Impossible', 'Prime', 'Short Circuit', 'Back to the Future', 'Deja Vu', 'Twelve Monkeys', 'Swing Kids', 'Primer', 'Escape from the Planet of the Apes', 'The Time Machine', 'Artificial Intelligence: AI', 'Back to the Future Part II', 'Kazaam', 'Time Bandits', 'Les visiteurs']"
11,DragonHeart,"['Dungeons & Dragons', 'The Big Lebowski', 'Beverly Hills Cop', 'The Three Musketeers', 'Dragonslayer', 'Reign of Fire', 'Eragon', 'Secondhand Lions', 'DragonHeart']"
12,Ransom,"['The Juror', 'Angels in America', 'Proof of Life', ""The Making of 'Along Came a Spider'"", 'Ruthless People', 'Ransom', 'Family Plot', 'Fast Food Fast Women', 'Laurel Canyon']"
13,Gone with the Wind,"['Striptease', 'Harry Potter and the Prisoner of Azkaban', 'The Witches', 'The Last of the Mohicans', 'Noel', 'The Grapes of Wrath', 'The Hunchback of Notre Dame', 'Glory', 'Little Women', 'House of Sand and Fog', 'Red Dragon', 'The Man Who Fell to Earth', 'Doctor Dolittle', 'Die Blechtrommel', 'Mutiny on the Bounty', 'Shaft', 'Forrest Gump', 'American Psycho', 'Catch-22', 'Murder on the Orient Express', 'The Bone Collector', 'The Birth of a Nation', 'Terms of Endearment', 'Waking the Dead', 'Treasure Island', ""Harry Potter and the Sorcerer's Stone"", 'The Great Train Robbery', 'Dracula', 'The Railway Children', 'Chitty Chitty Bang Bang', 'The Night Listener', 'Emma', 'Gone with the Wind', 'There Will Be Blood', 'Sense and Sensibility', 'Lolita', 'Cold Mountain', 'Midnight Cowboy', 'Payback', ""The Making of 'Along Came a Spider'"", 'Jumper', 'The King of Comedy', 'Family Plot', 'Fahrenheit 451', 'Leaving Las Vegas', 'Naked Lunch', 'To Kill a Mockingbird', 'Mommie Dearest']"
14,Last Man Standing,"['48 Hrs.', 'Presumed Innocent', 'The Last Boy Scout', 'Mou gaan dou', 'Escape from New York', 'Brick', 'The Matrix Revolutions', 'Manhunter', 'Jagged Edge', 'L.A. Confidential', 'Kiss Kiss Bang Bang', 'No Way Out', 'Around the World in 80 Days', 'Minority Report', 'Reservoir Dogs', 'Taxi Driver', ""Don't Say a Word"", 'Enter the Dragon', ""Miller's Crossing"", 'Sabrina', 'Chinatown', 'Raw Deal', 'The Thirteenth Floor', 'Last Man Standing', 'Oldeuboi', ""The Man Who Wasn't There"", 'High Noon', 'Taxi', 'L.A. Story', 'Les rivières pourpres', 'Yôjinbô', 'Body Heat', 'Die Hard', 'Cowboy Bebop: Tengoku no tobira', 'Blood Simple.', 'Zero Effect', 'Salinui chueok', 'Pacific Heights', ""Le fabuleux destin d'Amélie Poulain"", 'The Score', 'Dark City', 'Fallen', 'No Country for Old Men', 'Dark Blue', 'Malice', 'Sin City', 'Duo luo tian shi', 'Wanted', 'Payback', 'Desperado', 'Children of Men', 'Der amerikanische Freund', 'The Beach']"
15,Die Hard,"['Collateral', 'Scrooged', ""Ocean's Thirteen"", ""Ocean's Twelve"", 'Noel', 'Joyeux Noël', 'Escape from New York', 'Das Boot', 'The Matrix Revolutions', 'Three Kings', 'The Taking of Pelham One Two Three', 'How the Grinch Stole Christmas', 'The Cable Guy', 'Proof of Life', 'The Ladykillers', 'Elf', 'Home Alone 2: Lost in New York', 'The Ref', 'Stalag 17', 'White Christmas', 'Swordfish', 'Crocodile Dundee in Los Angeles', 'The Muppet Christmas Carol', 'Clueless', 'Santa Claus', 'Around the World in 80 Days', 'Funny Games U.S.', 'Entrapment', 'Love Actually', 'Enter the Dragon', 'Falling Down', 'Bad Santa', 'The American President', 'Topkapi', 'Gods and Monsters', ""It's a Wonderful Life"", 'Gremlins', 'Last Man Standing', 'Inside Man', 'Bean', 'High Noon', 'The Family Stone', ""'Crocodile' Dundee II"", 'Die Hard', 'Christmas Vacation', 'Batman Returns', 'A Christmas Story', ""Ocean's Eleven"", 'The Apartment', 'Playing by Heart', 'The Nightmare Before Christmas', 'A Fish Called Wanda', 'Liar Liar', 'Serendipity', 'Out of Sight', 'Toy Soldiers', 'Dog Day Afternoon', 'Thunderbirds', 'Home Alone', 'The Bank Job', 'Duo luo tian shi', 'John Q', 'Hostage', 'Beverly Hills Cop III', 'High Sierra', 'The Mexican', 'The Italian Job', 'Desperado', 'Rocky IV', 'Phone Booth']"
16,The Abyss,"['The Birds', 'The Truman Show', 'After Hours', 'The Thing', 'The Abyss', 'Destination Tokyo', 'Dead Ringers', '20000 Leagues Under the Sea', ""Rosemary's Baby"", 'Fantastic Voyage', 'The Hunt for Red October', 'The Conversation', 'The Machinist', 'Crimson Tide', 'And Then There Were None', 'The Amityville Horror']"
17,Army of Darkness,"['Reality Bites', 'Evil Dead II', 'Lethal Weapon 3', 'Richard III', 'Henry V', 'Shall we dansu?', 'Duel', 'Ran', 'Now and Then', 'Army of Darkness', 'In weiter Ferne, so nah!', ""Mr. Holland's Opus"", ""Baby's Day Out"", 'Set It Off', 'Made in America', 'A Night at the Roxbury', 'The Thin Red Line', 'Speed', '300', 'The 13th Warrior', 'Sister Act 2: Back in the Habit', ""A Knight's Tale"", 'Bean', 'The Lord of the Rings: The Return of the King', 'Kingdom of Heaven', 'Never Been Kissed', 'We Were Soldiers', 'Conquest of the Planet of the Apes', 'Pokémon: The First Movie', 'Wall Street', 'The Evil Dead', 'The Lion in Winter', 'Menace II Society', 'Buffy the Vampire Slayer', 'The Brady Bunch Movie', 'The Next Karate Kid', 'Shichinin no samurai', 'In America']"
18,Das Boot,"['Scrooged', 'Noel', 'Joyeux Noël', 'Das Boot', 'How the Grinch Stole Christmas', 'Elf', 'Home Alone 2: Lost in New York', 'The Ref', 'Stalag 17', 'White Christmas', 'The Muppet Christmas Carol', 'Santa Claus', 'Love Actually', 'Gremlins', 'Bad Santa', 'The American President', ""It's a Wonderful Life"", '20000 Leagues Under the Sea', 'The Family Stone', 'Die Hard', 'Christmas Vacation', 'Batman Returns', 'A Christmas Story', 'The Apartment', 'The Nightmare Before Christmas', 'U-571', 'Serendipity', 'Home Alone', 'Rocky IV']"
19,Butch Cassidy and the Sundance Kid,"['Out of Sight', 'Stagecoach', '3:10 to Yuma', 'Dog Day Afternoon', 'Point Break', 'Butch Cassidy and the Sundance Kid', 'Swordfish']"
20,Star Trek: The Wrath of Khan,"['Mad Max', 'Gwoemul', 'Strictly Ballroom', 'Eulogy', ""Dead Man's Shoes"", ""Ocean's Thirteen"", 'The Count of Monte Cristo', 'Tremors', 'Kickboxer', 'Driving Miss Daisy', 'Cape Fear', 'The Cable Guy', 'Chinjeolhan geumjassi', 'Garden State', 'Mad Max 2', 'The Final Cut', 'Lawrence of Arabia', ""Bill & Ted's Excellent Adventure"", 'The Godfather: Part II', 'Hidalgo', ""The Devil's Rejects"", 'Patriot Games', 'Young Sherlock Holmes', 'Seppuku', 'El espinazo del diablo', 'Four Brothers', 'Addicted to Love', 'Madagascar', 'Harold and Maude', 'Oldeuboi', 'The Scorpion King', 'The Outlaw Josey Wales', 'The Hills Have Eyes II', 'Tank Girl', 'Get Carter', 'Batman Returns', 'Four Weddings and a Funeral', 'The Quick and the Dead', 'Meet Joe Black', 'Charade', 'High Plains Drifter', 'Pitch Black', 'No Country for Old Men', 'Kill Bill: Vol. 2', 'The Adventures of Priscilla, Queen of the Desert', ""Pirates of the Caribbean: Dead Man's Chest"", 'Revenge of the Nerds II: Nerds in Paradise', 'The Fog', 'Léon', 'The Searchers', 'Dune', 'Payback', 'Death at a Funeral', ""Bill & Ted's Bogus Journey"", 'Star Trek: The Wrath of Khan', 'Unforgiven']"
21,Liar Liar,"['Central do Brasil', 'Collateral', 'Angels in America', 'Ying xiong', 'Fletch Lives', 'Primal Fear', 'Daredevil', 'The Rainmaker', 'Crocodile Dundee in Los Angeles', 'Moonlight Mile', 'Clueless', 'The People vs. Larry Flynt', 'Falling Down', 'Michael Clayton', 'Gods and Monsters', 'The Sweet Hereafter', 'The Good Son', ""The Devil's Advocate"", 'Bean', 'The Firm', 'Shark Tale', 'Die Hard', 'Playing by Heart', 'A Few Good Men', 'Liar Liar', 'Bringing Down the House', 'My Cousin Vinny', 'Beverly Hills Cop III', 'To Kill a Mockingbird']"
22,The Fifth Element,"['Collateral', 'Enemy Mine', 'Fire in the Sky', 'Plan 9 from Outer Space', 'Cloverfield', 'Cocoon', 'Westworld', 'The Man Who Fell to Earth', 'Terminator 2: Judgment Day', 'Catch Me If You Can', 'Village of the Damned', 'Alien Nation', 'Taxi Driver', 'Gojira ni-sen mireniamu', 'Gattaca', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Alien', 'Men in Black', 'Lost in Space', 'Lola rennt', 'Stardust Memories', 'Goldfinger', 'Jimmy Neutron: Boy Genius', 'Aliens', 'Species', 'The Day of the Jackal', 'Lilo & Stitch', 'Muppets from Space', 'Taxi', 'The Cell', 'Battle of Britain', 'The Fifth Element', 'Repo Man', 'Alien³', '*batteries not included', 'The Score', 'Howard the Duck', 'They Live', 'War of the Worlds', 'Star Trek: The Motion Picture', 'Back to the Future', 'The Adventures of Buckaroo Banzai Across the 8th Dimension', 'E.T.: The Extra-Terrestrial', 'K-PAX', 'Conspiracy Theory', 'Titan A.E.', 'Taxi 3', 'AVP: Alien vs. Predator', 'Galaxy Quest', 'Escape from the Planet of the Apes', 'The Trollenberg Terror', 'Dark Star', 'Close Encounters of the Third Kind', 'Chicken Little', 'Slither', 'The X Files', 'Starman', 'What Planet Are You From?']"
23,Armageddon,"[""The Astronaut's Wife"", 'Event Horizon', 'Mission to Mars', 'The Day After Tomorrow', 'Men with Brooms', 'Apollo 13', 'For All Mankind', 'The Right Stuff', 'Alien', 'WALL·E', ""Dante's Peak"", 'The Towering Inferno', 'In & Out', 'Alien³', 'Moonraker', 'Mystery Science Theater 3000: The Movie', 'Sunshine', 'Space Cowboys', 'Armageddon', 'Beneath the Planet of the Apes', 'Battlestar Galactica']"
24,Back to the Future Part II,"['Back to the Future', 'Deja Vu', 'Revenge of the Nerds II: Nerds in Paradise', 'The Whole Ten Yards', 'Dune', 'Peggy Sue Got Married', 'Back to the Future Part II', 'Superman II', 'Camp', 'Terminator 2: Judgment Day']"
25,"Honey, I Shrunk the Kids","['Honey, I Shrunk the Kids', 'Love and Death', ""Who's That Girl"", 'Accepted', 'State and Main', 'Manhattan', 'The Lost Boys', 'The New Guy', ""Ulee's Gold"", 'The Prize Winner of Defiance, Ohio', 'Grosse Pointe Blank', ""Can't Hardly Wait"", 'Beautiful Thing', ""She's All That"", 'Kundun', 'Nick of Time', 'Radio', 'Agent Cody Banks', 'Superman III', 'Stardust Memories', 'Matchstick Men', 'Final Destination', 'Better Off Dead...', 'Hedwig and the Angry Inch', 'FernGully: The Last Rainforest', 'Antitrust', 'Sleeper', 'Six-String Samurai', 'The Story of Us', 'A Guide to Recognizing Your Saints', 'Rugrats Go Wild', 'Les choristes', 'Trekkies', 'Norbit', 'People I Know', 'Movie Crazy', 'The Karate Kid, Part III', 'Be Kind Rewind', 'Lust och fägring stor', 'Murder by Numbers']"
26,The Negotiator,"['Collateral Damage', 'American Ninja 3: Blood Hunt', 'Godzilla, King of the Monsters!', 'Toy Soldiers', 'Patriot Games', 'Air Force One', 'The Negotiator', 'Cowboy Bebop: Tengoku no tobira', 'The Naked Gun: From the Files of Police Squad!', 'Passenger 57', 'Drop Zone', 'Executive Decision', 'Team America: World Police']"
27,Payback,"['Strictly Ballroom', 'Eyes Wide Shut', ""Dead Man's Shoes"", 'The Last Boy Scout', 'The Grapes of Wrath', 'The Cable Guy', 'Jagged Edge', 'Die Blechtrommel', 'Forrest Gump', 'Minority Report', 'The Bone Collector', 'Last Man Standing', 'Oldeuboi', 'Les rivières pourpres', 'Cowboy Bebop: Tengoku no tobira', 'Blood Simple.', 'Zero Effect', 'The Quick and the Dead', 'Le notti di Cabiria', 'The Score', 'Gone with the Wind', 'Dark Blue', 'Malice', 'Sin City', ""Born Into Brothels: Calcutta's Red Light Kids"", 'The Searchers', 'Payback', 'Leaving Las Vegas', 'Striptease', 'Brick', 'Kickboxer', 'Cape Fear', 'Red Dragon', 'The Godfather: Part II', 'Patriot Games', 'Stage Beauty', 'Catch-22', 'Young Sherlock Holmes', 'Murder on the Orient Express', 'El espinazo del diablo', ""Miller's Crossing"", 'Chinatown', 'Trading Places', 'Kikujirô no natsu', 'Un long dimanche de fiançailles', 'The Outlaw Josey Wales', 'Body Heat', 'Dracula', 'The Railway Children', 'Chitty Chitty Bang Bang', 'Cold Mountain', 'Midnight Cowboy', 'Sydney', 'Family Plot', 'Der amerikanische Freund', 'Star Trek: The Wrath of Khan', 'To Kill a Mockingbird', 'Chinjeolhan geumjassi', '48 Hrs.', 'Gwoemul', 'Presumed Innocent', 'The Witches', 'The Count of Monte Cristo', ""Ocean's Thirteen"", 'Mou gaan dou', 'The Last of the Mohicans', 'The Hunchback of Notre Dame', 'Little Women', 'House of Sand and Fog', 'L.A. Confidential', 'Wedding Crashers', ""Bill & Ted's Excellent Adventure"", 'The Man Who Fell to Earth', 'Doctor Dolittle', 'Mutiny on the Bounty', 'Shaft', 'Seppuku', 'Reservoir Dogs', 'No Way Out', 'Addicted to Love', 'The Thirteenth Floor', 'Waking the Dead', 'The Hills Have Eyes II', 'Husbands and Wives', 'Batman Returns', 'The Night Listener', 'Pacific Heights', 'Emma', 'High Plains Drifter', 'Dark City', ""Ferris Bueller's Day Off"", 'No Country for Old Men', 'Fallen', 'There Will Be Blood', 'Sense and Sensibility', ""Pirates of the Caribbean: Dead Man's Chest"", 'Léon', 'Paint Your Wagon', 'Jumper', 'Children of Men', 'Candy', ""Bill & Ted's Bogus Journey"", 'Fahrenheit 451', 'Harry Potter and the Prisoner of Azkaban', 'The Gauntlet', 'Sgt. Bilko', 'Noel', 'Manhunter', 'The Frighteners', ""The Devil's Rejects"", 'Kiss Kiss Bang Bang', 'Stagecoach', 'Taxi Driver', ""Don't Say a Word"", 'Terms of Endearment', ""The Man Who Wasn't There"", 'Treasure Island', 'Taxi', ""Harry Potter and the Sorcerer's Stone"", 'The Great Train Robbery', 'Get Carter', 'Dorm Daze 2', 'Salinui chueok', 'Pretty Woman', 'Kill Bill: Vol. 2', 'Lolita', 'Revenge of the Nerds II: Nerds in Paradise', 'The Fog', ""The Making of 'Along Came a Spider'"", 'Naked Lunch', 'Unforgiven']"
28,The Matrix,"['Mad Max', 'Batoru rowaiaru', 'Metropolis', 'Rollerball', 'A Boy and His Dog', 'Escape from L.A.', 'I, Robot', 'Mad Max 2', 'The Truman Show', ""The Handmaid's Tale"", 'Casshern', 'Ultraviolet', 'Nineteen Eighty-Four', 'Code 46', 'Tank Girl', 'Equilibrium', 'Zardoz', 'Soylent Green', 'Six-String Samurai', 'Kaze no tani no Naushika', 'I Am Legend', 'A Clockwork Orange', 'Æon Flux', 'Land of the Dead', 'The Time Machine', 'Mad Max Beyond Thunderdome', 'The Matrix', 'Brazil', 'Fahrenheit 451', 'The Quiet Earth', 'V for Vendetta']"
29,Superman,"['The Crow', 'Batman Begins', 'Cube Zero', 'Mystery Men', 'The Incredibles', 'Dogma', 'Hellboy II: The Golden Army', 'Men in Black', 'X-Men', 'Superman III', 'Ging chat goo si 3: Chiu kup ging chat', 'Superman Returns', 'Highlander III: The Sorcerer', 'Batman Returns', 'Unbreakable', 'Spider-Man', 'Snake Eyes', 'The Mask of Zorro', 'Jeepers Creepers II', 'The Chronicles of Riddick', 'Superman II', 'Taxi 3', 'Superman', 'The Dark Knight', 'My Big Fat Greek Wedding']"
30,The General's Daughter,"['Straw Dogs', 'M', 'Frenzy', 'Double Indemnity', 'The Accused', 'The Limey', 'Bad Boys', 'Kind Hearts and Coronets', 'In a Lonely Place', 'The Big Sleep', 'Four Brothers', 'La pianiste', 'Insomnia', 'Ging chat goo si 3: Chiu kup ging chat', 'City by the Sea', 'The Last Castle', 'The Pelican Brief', 'Zero Effect', 'The Quick and the Dead', 'Dead Again', 'Identity', 'The Life of David Gale', 'Touch of Evil', 'The Crow: Salvation', 'Sleepy Hollow', 'Deliverance', 'The Amityville Horror', 'A Nightmare on Elm Street', 'Chain Reaction', 'Kickboxer', 'American Ninja', 'A Shot in the Dark', 'Diva', 'Alien Nation', 'Murder on the Orient Express', 'Chinatown', 'Das Experiment', 'Kiss the Girls', 'Ringu', 'Body Heat', 'Reservation Road', 'Blade Runner', 'Rope', 'JFK', 'Charade', 'The Conversation', 'The Hills Have Eyes', 'The Maltese Falcon', 'Fletch', 'Angel Heart', 'Per qualche dollaro in più', 'The Mexican', 'Chinjeolhan geumjassi', 'The Thomas Crown Affair', 'Gothika', 'L.A. Confidential', 'Lat sau san taam', 'Mr. Brooks', 'Quiz Show', 'No Way Out', 'Swimming Pool', 'U.S. Marshals', 'Derailed', 'Shi mian mai fu', 'Ace Ventura: Pet Detective', 'Strangers on a Train', 'The Hills Have Eyes II', 'The Number 23', 'Narc', 'Kate & Leopold', 'High Plains Drifter', '12 Angry Men', 'Fallen', 'Copycat', 'Blue Streak', 'Murder by Numbers', 'The Tragedy of Macbeth', 'Doctor Zhivago', 'The Gift', 'Saw IV', 'Vacancy', 'Air Force One', 'Bullitt', 'À bout de souffle', 'Dirty Pretty Things', 'Memento', 'See No Evil, Hear No Evil', 'Hot Fuzz', 'Snow Falling on Cedars', '...And Justice for All.', 'Atonement', 'In the Heat of the Night', 'Dogville', 'Road to Perdition', 'The Constant Gardener', ""The General's Daughter"", 'Witness', ""Rosemary's Baby"", 'The Spanish Prisoner', 'Drop Zone']"
31,South Park: Bigger Longer & Uncut,"['South Park: Bigger Longer & Uncut', 'Demolition Man', 'Spaceballs', 'Shallow Grave', 'Hung fan kui', ""Jeux d'enfants"", 'Pleasantville', 'Thank You for Smoking', 'The Original Kings of Comedy', 'Fun with Dick and Jane', ""Jumpin' Jack Flash"", 'The Myth of Fingerprints', 'I Heart Huckabees', 'El ángel exterminador', 'Good Morning, Vietnam', 'Yat goh hiu yan', 'Beavis and Butt-Head Do America', 'Bob Roberts', 'Lock, Stock and Two Smoking Barrels', 'Jackie Brown', 'Very Bad Things', ""Roseanna's Grave"", 'Imaginary Heroes', 'Mars Attacks!', 'Barton Fink', 'The Simpsons Movie', 'Death at a Funeral', 'Fargo', 'The Chumscrubber']"
32,The Sixth Sense,"['The Sixth Sense', 'Thir13en Ghosts', 'Scrooged', 'War of the Buttons', 'Pay It Forward', 'The Village', 'The Usual Suspects', 'Ghostbusters II', 'Todo sobre mi madre', 'The United States of Leland', 'Final Destination 2', 'The Skeleton Key', 'The Frighteners', 'Ghost Ship', 'Riding in Cars with Boys', 'The Lost Boys', 'You Can Count on Me', 'Cypher', 'Coach Carter', 'Jerry Maguire', 'Parenthood', 'Die Blechtrommel', 'The Muppet Christmas Carol', ""Look Who's Talking"", 'Heart and Souls', 'Peter Pan', 'The Bourne Ultimatum', 'Beetle Juice', 'The Client', 'Mulan', 'Kikujirô no natsu', 'Saw', 'Io non ho paura', 'Ultraviolet', 'Damien: Omen II', 'Ringu', 'Paradise Lost: The Child Murders at Robin Hood Hills', 'The Others', 'Angels in the Outfield', 'Ju-on', 'What Lies Beneath', 'Poltergeist', 'Les diaboliques', 'Alfie', 'Yi ge dou bu neng shao', 'Moskva slezam ne verit', 'The Machinist', 'Mermaids', 'Sleuth', 'Stir of Echoes', 'Les choristes', 'Erin Brockovich', 'Fight Club', 'The Water Horse', 'Field of Dreams', 'Deathtrap', 'Close Encounters of the Third Kind', 'About a Boy', 'Casper', 'The Spiderwick Chronicles', 'James and the Giant Peach', 'Sien nui yau wan', 'The World According to Garp', 'Frailty']"
33,Fight Club,"['The Sixth Sense', 'Fight Club', 'The Usual Suspects', 'The Others', 'Deathtrap', 'The Skeleton Key', 'Les diaboliques', 'Insomnia', 'The Machinist', 'The Bourne Ultimatum', 'The Three Faces of Eve', 'Cypher', 'Frailty', 'Sleuth', 'Saw']"
34,Death Becomes Her,"['Paradise Now', 'Death Becomes Her', 'Chaos Theory', 'The Assassination of Jesse James by the Coward Robert Ford', '16 Blocks', 'Kakushi-toride no san-akunin', 'Interview', 'Wanted', 'The Living Daylights', 'Interview with the Vampire: The Vampire Chronicles']"
35,X-Men,"['Hellboy II: The Golden Army', 'The Crow', 'The Island of Dr. Moreau', 'The Mask of Zorro', 'Batman Begins', 'Batman Returns', 'Superman', 'Mystery Men', 'Men in Black', 'X-Men', 'The Dark Knight', 'Unbreakable', 'Superman II', 'The Incredibles', 'Spider-Man', 'Casshern', 'X-Men: The Last Stand']"
36,Highlander: Endgame,"['The Patriot', 'Hellraiser: Bloodline', 'Highlander: Endgame', 'Perfume: The Story of a Murderer', 'Casanova', 'Rob Roy', 'Le pacte des loups', 'Plunkett & Macleane']"
